feature,PC1,PC2,abs_PC1_loading
BMI,0.715442606236902,0.03406333326555615,0.715442606236902
年龄,0.6288338892101346,-0.4666787261592875,0.6288338892101346
术前-肌酐,0.3044828680924514,0.8837707032240801,0.3044828680924514
