n_replicates,pr_auc_median,pr_auc_lcl,pr_auc_ucl,pr_auc_q95,roc_auc_median,roc_auc_lcl,roc_auc_ucl,roc_auc_q95,precision_median,precision_lcl,precision_ucl,precision_q95,sensitivity_median,sensitivity_lcl,sensitivity_ucl,sensitivity_q95,features,n_fields,method,rank
100,0.0032579578458879913,0.00017812296300357598,0.03261342228043582,0.028329961346246393,0.5936296768413875,0.4106799203934102,0.7800890158923941,0.7410723307023857,0.0006132619627100058,0.0001524321806113944,0.0011314483564989996,0.0010579612726588474,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶 + 术前-游离甲状腺素 + 术前-超敏促甲状腺素,3,linear,1
100,0.0030272621316643263,0.00017361233579777974,0.017377339673437155,0.010692764223065997,0.5233908523692845,0.29822952548977766,0.7512375979664954,0.7065488247437259,0.0006082725201488539,0.00015142337976983646,0.0011380574668357728,0.001048634343256676,1.0,1.0,1.0,1.0,术前-丙氨酸氨基转移酶 + 术前-游离三碘甲状腺原氨酸 + 术前-超敏促甲状腺素,3,linear,2
100,0.00298527815592471,0.00017804886748706974,0.04600469587159511,0.04463047450007356,0.5917365151830642,0.408663575376692,0.7792409522540374,0.7399079971805156,0.0006132619627100058,0.0001523028235640298,0.0011312671072650064,0.0010549558468729672,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶 + 术前-游离三碘甲状腺原氨酸 + 术前-游离甲状腺素,3,linear,3
100,0.0029354874164442338,0.00017925990460859577,0.029072284526802737,0.026859444185920896,0.5903965058334353,0.4076365218272931,0.7784051736991201,0.7396602049910872,0.000613214908182278,0.0001523967766421296,0.0011316842089850163,0.0010568511755136092,1.0,1.0,1.0,1.0,术前-前白蛋白 + 术前-天门冬氨酸氨基转移酶 + 术前-游离甲状腺素,3,linear,4
100,0.0024388302136783427,0.00017807774124559521,0.011470952560185125,0.010443021695373946,0.5987077667247251,0.41172811162159756,0.7918435029151026,0.7526203814209101,0.0006133561150871074,0.00015261176747667548,0.0011336156364862803,0.001060638219673999,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶 + 术前-游离三碘甲状腺原氨酸 + 术前-超敏促甲状腺素,3,linear,5
100,0.0008238172787046491,0.00017705220560376575,0.0015627650210300042,0.0014323520961389352,0.49515894951461903,0.28490211952383004,0.7044145374305307,0.6948286835816361,0.0006006007224658555,0.00015025740025740024,0.0011191789728629915,0.0010432190760059613,1.0,1.0,1.0,1.0,术前-丙氨酸氨基转移酶 + 术前-游离三碘甲状腺原氨酸 + 术前-超敏促甲状腺素,3,scm,6
100,0.0007597136085009168,0.00017929690112298283,0.0018732975506259297,0.0012776272144478836,0.4706434549802835,0.21997913505311079,0.6425402821094935,0.6312294821892275,0.0006006007224658555,0.00015025740025740024,0.0011191789728629915,0.0010432190760059613,1.0,1.0,1.0,1.0,术前-前白蛋白 + 术前-天门冬氨酸氨基转移酶 + 术前-游离甲状腺素,3,scm,7
100,0.0007376610803447331,0.00017766201299304027,0.0012382298106405898,0.0011893788896503506,0.4794794826232225,0.22108035073314794,0.6264891275689645,0.6037456348805477,0.0006006007224658555,0.00015025740025740024,0.0011191789728629915,0.0010432190760059613,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶 + 术前-游离甲状腺素 + 术前-超敏促甲状腺素,3,scm,8
100,0.0007267976269814587,0.00017766344011998402,0.0019935045685373783,0.0012673855418445595,0.4793998882284862,0.24919851492117118,0.6350426011996899,0.6047981352908416,0.0006006007224658555,0.00015025740025740024,0.0011191789728629915,0.0010432190760059613,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶 + 术前-游离三碘甲状腺原氨酸 + 术前-游离甲状腺素,3,scm,9
100,0.0007198042035468778,0.00017762624193034057,0.0034828236838587677,0.0017215549213220383,0.42722224618887766,0.22122906519879468,0.6332272150270423,0.6191539135353078,0.0006006007224658555,0.00015025740025740024,0.0011191789728629915,0.0010432190760059613,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶 + 术前-游离三碘甲状腺原氨酸 + 术前-超敏促甲状腺素,3,scm,10
