feature,PC1,PC2,abs_PC1_loading
年龄,0.7133120357713332,-0.15012493884071915,0.7133120357713332
BMI,0.6973095415159117,0.2500352091907119,0.6973095415159117
术前-超敏促甲状腺素,-0.07032313228678759,0.9565275202016024,0.07032313228678759
