label_type,indicator_count,method,best_features,pr_auc_median,pr_auc_lcl,pr_auc_ucl,pr_auc_q95,roc_auc_median,roc_auc_lcl,roc_auc_ucl,roc_auc_q95,precision_median,precision_lcl,precision_ucl,precision_q95,sensitivity_median,sensitivity_lcl,sensitivity_ucl,sensitivity_q95
A,1,linear,术前-肌酐,0.0022165088599733996,0.00024698708055819575,0.00479389893414002,0.004436421363602378,0.6299730157814871,0.24215237612665194,0.9070704081432377,0.8707890503533986,0.0006000600060006001,0.00015029292474087427,0.0010600479353721438,0.00104550191636226,1.0,1.0,1.0,1.0
A,1,scm,术前-肌酐,0.0015428751168150901,0.00024701271513606746,0.005386829890581609,0.0047457546023037716,0.6086740354668143,0.22462283194948773,0.9158827600283767,0.8557222294897231,0.0005988474909056677,0.00014985651574634808,0.0010510782698971344,0.0010433281341530945,1.0,1.0,1.0,1.0
A,2,linear,术前-天门冬氨酸氨基转移酶 + 术前-游离甲状腺素,0.004363939216897015,0.00040052577102997006,0.06940684417121777,0.043238320272534325,0.6065049119929261,0.3935535826864504,0.9858753468384365,0.8371215409585907,0.0006865181381555186,0.0002225186396982107,0.0010719400992213204,0.001063329205387746,1.0,1.0,1.0,1.0
A,2,scm,术前-肌酐 + 术前-游离甲状腺素,0.0014087087220751777,0.00025806188356031326,0.0056993253971908036,0.0043030265891595065,0.532138168093224,0.12814725179812483,0.8332601128835353,0.7930122246111792,0.0006703154322126685,0.00021997330364067601,0.001051058965520903,0.0010502941003228588,1.0,1.0,1.0,1.0
A,3,linear,术前-天门冬氨酸氨基转移酶 + 术前-游离甲状腺素 + 术前-超敏促甲状腺素,0.0032579578458879913,0.00017812296300357598,0.03261342228043582,0.028329961346246393,0.5936296768413875,0.4106799203934102,0.7800890158923941,0.7410723307023857,0.0006132619627100058,0.0001524321806113944,0.0011314483564989996,0.0010579612726588474,1.0,1.0,1.0,1.0
A,3,scm,术前-丙氨酸氨基转移酶 + 术前-游离三碘甲状腺原氨酸 + 术前-超敏促甲状腺素,0.0008238172787046491,0.00017705220560376575,0.0015627650210300042,0.0014323520961389352,0.49515894951461903,0.28490211952383004,0.7044145374305307,0.6948286835816361,0.0006006007224658555,0.00015025740025740024,0.0011191789728629915,0.0010432190760059613,1.0,1.0,1.0,1.0
B,1,linear,术前-超敏促甲状腺素,0.007300034929837539,0.004172546326817921,0.01819002068320705,0.015763426445148665,0.51620904341666,0.44440197924157765,0.5513552121974604,0.5469891781132847,0.005218430363637531,0.0036042823027219073,0.006240341256488054,0.006123287322063001,1.0,1.0,1.0,1.0
B,1,scm,BMI,0.005886646397344158,0.0041501660130992615,0.011518522694359077,0.009613776182462898,0.525519116821514,0.43544569900466845,0.5997425351950618,0.5955660353326724,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0
B,2,linear,BMI + 术前-超敏促甲状腺素,0.008298721584784584,0.004653306762498406,0.020215529509996444,0.016725866320883444,0.5686641031410458,0.39448128283745076,0.6465164905896513,0.6448074388709782,0.0050886800003817,0.003876080505855917,0.006412766767272212,0.0061336145795125524,1.0,1.0,1.0,1.0
B,2,scm,BMI + 术前-游离甲状腺素,0.006224196056974941,0.003549662857094344,0.017278790778124647,0.01348638796109335,0.5137964358271152,0.39742866221161877,0.596248195831552,0.5889280851586323,0.00507841718209935,0.003876080505855917,0.006412766767272212,0.006123071104422249,1.0,1.0,1.0,1.0
B,3,linear,BMI + 术前-丙氨酸氨基转移酶 + 术前-超敏促甲状腺素,0.00896056414797657,0.004857173176457317,0.01638133714541669,0.015346694824909031,0.581021822349671,0.49552805336230277,0.6492304537450944,0.6384213468861596,0.004950138483586168,0.0036756856616059932,0.006344654088050314,0.006221146361349687,1.0,1.0,1.0,1.0
B,3,scm,BMI + 术前-前白蛋白 + 术前-超敏促甲状腺素,0.005918866074342196,0.00408105568723584,0.016084346596316537,0.012926576451305882,0.5154637384940399,0.4145839482496805,0.6018147263661835,0.5966919110767063,0.004908890262092044,0.0036185528857200114,0.006304653221597595,0.00612486865972738,1.0,1.0,1.0,1.0
