n_replicates,pr_auc_median,pr_auc_lcl,pr_auc_ucl,pr_auc_q95,roc_auc_median,roc_auc_lcl,roc_auc_ucl,roc_auc_q95,precision_median,precision_lcl,precision_ucl,precision_q95,sensitivity_median,sensitivity_lcl,sensitivity_ucl,sensitivity_q95,features,n_fields,method,rank
100,0.008298721584784584,0.004653306762498406,0.020215529509996444,0.016725866320883444,0.5686641031410458,0.39448128283745076,0.6465164905896513,0.6448074388709782,0.0050886800003817,0.003876080505855917,0.006412766767272212,0.0061336145795125524,1.0,1.0,1.0,1.0,BMI + 术前-超敏促甲状腺素,2,linear,1
100,0.007644671540279509,0.004477365490530122,0.019283451452483245,0.016743697388138547,0.552041504043524,0.40967406041084187,0.6310857883411988,0.619777636934887,0.005078796281569521,0.003876080505855917,0.006412766767272212,0.006123071104422249,1.0,1.0,1.0,1.0,BMI + 术前-游离甲状腺素,2,linear,2
100,0.007282896794659066,0.004478566309526032,0.011263865194979348,0.011034529363523709,0.573056231204417,0.4186561321746098,0.6394244261089057,0.6315031284190515,0.005123577838931711,0.0039032307125313327,0.0064457986590748285,0.006180012762403334,1.0,0.9748611111111111,1.0,1.0,BMI + 术前-天门冬氨酸氨基转移酶,2,linear,3
100,0.00700139287798001,0.004240834872962267,0.015887748643407824,0.014897706347518757,0.5344996108950614,0.4670150492329761,0.5930877021012934,0.5909953105133136,0.005132467768745928,0.0039038746833291553,0.006447508909873909,0.006190706137226917,1.0,1.0,1.0,1.0,术前-丙氨酸氨基转移酶 + 术前-超敏促甲状腺素,2,linear,4
100,0.006875239245680545,0.004080557972461317,0.016511226048036856,0.014190293315311332,0.543488912432144,0.468065291286833,0.6031471213368781,0.5984135635273085,0.005139057301548964,0.0039041823773014643,0.006456509701532473,0.00619252392215916,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶 + 术前-超敏促甲状腺素,2,linear,5
100,0.006224196056974941,0.003549662857094344,0.017278790778124647,0.01348638796109335,0.5137964358271152,0.39742866221161877,0.596248195831552,0.5889280851586323,0.00507841718209935,0.003876080505855917,0.006412766767272212,0.006123071104422249,1.0,1.0,1.0,1.0,BMI + 术前-游离甲状腺素,2,scm,6
100,0.006153238606347642,0.004045299877878329,0.007687902175335297,0.007543433736664917,0.5269618447304826,0.4510207961100679,0.5833027612345554,0.5790599631693946,0.005066689939636843,0.003876080505855917,0.006412766767272212,0.006123071104422249,1.0,0.9705882352941176,1.0,1.0,术前-天门冬氨酸氨基转移酶 + 术前-超敏促甲状腺素,2,scm,7
100,0.006122160936165405,0.003591574644531544,0.02545073851793858,0.01433548754699044,0.504241818091002,0.41532811864525593,0.5991317002091883,0.5813758454901744,0.00507841718209935,0.003876080505855917,0.006412766767272212,0.006123071104422249,1.0,1.0,1.0,1.0,BMI + 术前-超敏促甲状腺素,2,scm,8
100,0.005631746665948574,0.003966088398620552,0.007548052534051454,0.006960343977922181,0.5266308486077028,0.4458223828625019,0.5894064513742722,0.5747177145484378,0.005074627883084227,0.003876080505855917,0.006412766767272212,0.006123071104422249,1.0,1.0,1.0,1.0,术前-丙氨酸氨基转移酶 + 术前-超敏促甲状腺素,2,scm,9
100,0.005540217408656612,0.003601302448399275,0.008539194253191608,0.008373671344528695,0.5188780798081056,0.38503620706187935,0.6188499715349198,0.6094376933068838,0.00507841718209935,0.003876080505855917,0.006412766767272212,0.006123071104422249,1.0,1.0,1.0,1.0,BMI + 术前-天门冬氨酸氨基转移酶,2,scm,10
