feature,PC1,PC2,abs_PC1_loading
BMI,0.7155670873461292,0.03480898161791892,0.7155670873461292
年龄,0.6293299204196705,-0.4655772532497741,0.6293299204196705
术前-肌酐,0.3031626539855282,0.8843224276558406,0.3031626539855282
